Item #,Description,Date Created,Due Date,Work Order #,Work Order Type,Status,Customer Name,SAPMaterial,Press,Press Priority,CSR,Sales Order,Quantity
I-009214-02,OptiMag Neuro 60 scoop Canada  Labels,2021-10-15,2021-10-22,8908,Internal,Shipping,XYMO Print,200003338,HP Indigo 6800B,3 - MEDIUM,,,2000
I-014628-01,OptiFiber Lean 180c Labels - Canada,2021-10-15,2021-10-22,8910,Internal,Shipping,XYMO Print,200003333,HP Indigo 6800B,3 - MEDIUM,,,1000
I-003207-03,(PK-BOX-709) Probiomax 350 DF Carton,2021-10-15,2021-11-11,8864,Internal,Shipping,XYMO Print,200000660,HP Indigo 30000,3 - MEDIUM,Edward.Aponte@xymoprint.com,,4000
I-017858-01,ProbioMax Complete DF 30 C Carton 050721,2021-10-15,2021-11-11,8864,Internal,Shipping,XYMO Print,200083687,HP Indigo 30000,3 - MEDIUM,Edward.Aponte@xymoprint.com,,11000
I-024983-01,ActivEssentials for Women UnitDose Film,2021-10-15,2021-11-11,8866,Internal,Shipping,XYMO Print,200084165,HP Indigo 6800A,3 - MEDIUM,,,120000
I-024982-01,ActivEssentials Unit Dose Film,2021-10-15,2021-11-11,8866,Internal,Shipping,XYMO Print,200084164,HP Indigo 6800A,3 - MEDIUM,,,160000
I-005491-03,Canada NAC 60c Label - ePV New Branding,2021-10-15,2021-10-22,8909,Internal,Shipping,XYMO Print,200003328,HP Indigo 6800B,3 - MEDIUM,,,2000
I-003217-02,CurcuPlex-95 60c Canada  labels,2021-10-15,2021-10-22,8909,Internal,Shipping,XYMO Print,200003272,HP Indigo 6800B,3 - MEDIUM,,,500
I-004486-02,XymoZyme 60c Label CANADA,2021-10-15,2021-10-22,8909,Internal,Shipping,XYMO Print,200003370,HP Indigo 6800B,3 - MEDIUM,,,500
I-006525-01,i5 Vanilla 10 Serv Carton,2021-10-15,2021-11-11,8865,Internal,Shipping,XYMO Print,200081938,HP Indigo 30000,3 - MEDIUM,Edward.Aponte@xymoprint.com,,3000
I-029512,CAL i5 Vanilla 10 Serv Carton,2021-10-15,2021-11-11,8865,Internal,Shipping,XYMO Print,200081935,HP Indigo 30000,3 - MEDIUM,Edward.Aponte@xymoprint.com,,500
I-029513,FIT Food Lean Whey Choc NAS 10sv CARTON,2021-10-15,2021-11-11,8865,Internal,Shipping,XYMO Print,200081860,HP Indigo 30000,3 - MEDIUM,Edward.Aponte@xymoprint.com,,2000
I-011120-01,OptiCleanse PLUS Creamy Chocolate Carton,2021-10-15,2021-11-11,8865,Internal,Shipping,XYMO Print,200082414,HP Indigo 30000,3 - MEDIUM,Edward.Aponte@xymoprint.com,,1500
I-029679,D32000 120c  Korea Labels,2021-10-18,2021-10-28,8974,Internal,Shipping,XYMO Print,200003662,HP Indigo 6800B,3 - MEDIUM,,,1200
I-003250-03,Iron Glycinate 29mg 120C - Labels,2021-10-18,2021-10-28,8975,Internal,Shipping,XYMO Print,200003470,HP Indigo 6800B,3 - MEDIUM,,,3000
I-004535-03,Mood Food ES 120c Label,2021-10-18,2021-10-28,8976,Internal,Shipping,XYMO Print,200003105,HP Indigo 6800B,3 - MEDIUM,,,1000
I-004552-04,Mood Food ES 60c Label,2021-10-18,2021-10-28,8977,Internal,Shipping,XYMO Print,200003509,HP Indigo 6800B,3 - MEDIUM,,,1500
I-004488-02,OmegaPure 900 EC 120c labels,2021-10-19,2021-11-08,8983,Internal,Shipping,XYMO Print,200003116,HP Indigo 6800B,3 - MEDIUM,,,6000
I-003230-04,K2D3 10,000  60c Label,2021-10-19,2021-10-28,9006,Internal,Shipping,XYMO Print,200003475,HP Indigo 6800A,3 - MEDIUM,,,8500
I-014890-02,ZLB-ANCHEW60-02,2021-10-19,2021-10-28,9007,Internal,Shipping,XYMO Print,200080018,HP Indigo 6800B,3 - MEDIUM,,,1000
I-004895-01,ZMP-LABRJI-01,2021-10-19,2021-11-02,9009,Internal,Shipping,XYMO Print,200082313,HP Indigo 30000,3 - MEDIUM,Edward.Aponte@xymoprint.com,,100
I-004055-09,ZMP-CENGEN2-01,2021-10-19,2021-11-02,9010,Internal,Shipping,XYMO Print,200080778,HP Indigo 30000,3 - MEDIUM,Edward.Aponte@xymoprint.com,,500
I-011339-03,Uritrax 50g - Labels,2021-10-19,2021-10-28,9011,Internal,Shipping,XYMO Print,200003493,HP Indigo 6800B,3 - MEDIUM,,,500
I-029769,Xcellent A 7500 60c - LABELS-01,2021-10-19,2021-10-28,9012,Internal,Shipping,XYMO Print,200080315,HP Indigo 6800B,3 - MEDIUM,,,5000
I-008587-02,OptiMag Neuro Labels (unwind #3),2021-10-19,2021-10-28,9014,Internal,Shipping,XYMO Print,200003540,HP Indigo 6800B,3 - MEDIUM,,,8000
I-007076-04,ActivNut wo Coppr&Irn 120C Label 012921,2021-10-19,2021-10-28,9013,Internal,Shipping,XYMO Print,200083068,HP Indigo 6800B,3 - MEDIUM,,,5000
I-029781,Saloxicin 120C Label 010521,2021-10-19,2021-10-28,9013,Internal,Shipping,XYMO Print,200082968,HP Indigo 6800B,3 - MEDIUM,,,500
I-003248-05,Hormone Protect 120C Labels,2021-10-19,2021-10-28,8986,Internal,Shipping,XYMO Print,200003095,HP Indigo 6800B,3 - MEDIUM,,,1500
I-014791-03,NiaVasc 120t LABELS -03,2021-10-19,2021-10-28,8986,Internal,Shipping,XYMO Print,200080507,HP Indigo 6800B,3 - MEDIUM,,,1000
I-003445-03,Dimension 3 120c  Labels,2021-10-19,2021-10-28,8986,Internal,Shipping,XYMO Print,200003396,HP Indigo 6800B,3 - MEDIUM,,,3500
I-004649-03,ColonX 60c Label,2021-10-19,2021-10-28,8985,Internal,Shipping,XYMO Print,200003381,HP Indigo 6800B,3 - MEDIUM,,,2500
I-003297-03,Hormone Protect 60c LABELS,2021-10-19,2021-10-28,8985,Internal,Shipping,XYMO Print,200003440,HP Indigo 6800B,3 - MEDIUM,,,2500
I-006561-05,B Activ 90C  Labels,2021-10-19,2021-10-28,8985,Internal,Shipping,XYMO Print,200003171,HP Indigo 6800B,3 - MEDIUM,,,4000
I-004553-05,Omega MonoPure 650 EC 60c - LABELS,2021-10-19,2021-10-28,8985,Internal,Shipping,XYMO Print,200003512,HP Indigo 6800B,3 - MEDIUM,,,1000
I-026953-01,PoDiaPN 60c LABEL-07,2021-10-19,2021-10-28,9005,Internal,Shipping,XYMO Print,200083536,HP Indigo 6800B,3 - MEDIUM,,,40000
I-003302-06,K2-D3 10,000 120c - LABELS,2021-10-19,2021-10-28,9005,Internal,Shipping,XYMO Print,200003097,HP Indigo 6800B,3 - MEDIUM,,,4500
I-009217-03,AllerDHQ 60 C Label 030121,2021-10-19,2021-10-28,9005,Internal,Shipping,XYMO Print,200083259,HP Indigo 6800B,3 - MEDIUM,,,2500
I-014631-01,Green Tea 600 60 C Label 011921,2021-10-19,2021-10-28,9005,Internal,Shipping,XYMO Print,200083013,HP Indigo 6800B,3 - MEDIUM,,,2000
I-014783-01,MoodFood 60C - Labels,2021-10-19,2021-10-28,9005,Internal,Shipping,XYMO Print,200003508,HP Indigo 6800B,3 - MEDIUM,,,5000
I-011204-04,ColonX 120C Labels,2021-10-19,2021-10-28,8984,Internal,Shipping,XYMO Print,200003084,HP Indigo 6800B,3 - MEDIUM,,,2500
I-004533-06,B Activ 180C  Labels,2021-10-19,2021-10-28,8984,Internal,Shipping,XYMO Print,200003080,HP Indigo 6800B,3 - MEDIUM,,,4500
I-009218-03,AllerDHQ 120 C Label 030121,2021-10-19,2021-10-28,8984,Internal,Shipping,XYMO Print,200083258,HP Indigo 6800B,3 - MEDIUM,,,2000
I-003286-04,DIMension 3 240C Labels,2021-10-19,2021-10-28,8984,Internal,Shipping,XYMO Print,200003092,HP Indigo 6800B,3 - MEDIUM,,,1000
I-014799-02,CheleX 120c Label-06,2021-10-19,2021-10-28,8984,Internal,Shipping,XYMO Print,200082246,HP Indigo 6800B,3 - MEDIUM,,,1000
I-003281-04,NAC 120c Labels,2021-10-19,2021-10-28,8984,Internal,Shipping,XYMO Print,200003108,HP Indigo 6800B,3 - MEDIUM,,,3500
I-013089-02,Methyl Protect 120C - Labels,2021-10-20,2021-10-28,9029,Internal,Shipping,XYMO Print,200003103,HP Indigo 6800B,3 - MEDIUM,,,6000
I-014920-01,L-Lysine 90c Label,2021-10-20,2021-10-28,9031,Internal,Shipping,XYMO Print,200003487,HP Indigo 6800B,3 - MEDIUM,,,4000
I-029861,Omega MonoPure Curcumin EC 30c - LABELS,2021-10-20,2021-10-28,9033,Internal,Shipping,XYMO Print,200003513,HP Indigo 6800B,3 - MEDIUM,,,17000
I-004496-03,SynovX Tendon and Ligament 60c Labels,2021-10-20,2021-10-28,9034,Internal,Shipping,XYMO Print,200003700,HP Indigo 6800B,3 - MEDIUM,,,3500
I-004652-02,ALAmax CR 120t Label 090120,2021-10-20,2021-10-28,9053,Internal,Shipping,XYMO Print,200082454,HP Indigo 6800B,3 - MEDIUM,,,1500
I-014630-01,XymoBolX Lemon Label 042121,2021-10-20,2022-02-10,9032,Internal,Shipping,XYMO Print,200083581,HP Indigo 6800B,3 - MEDIUM,,,1500
I-008622-03,RelaxMaX Cherry  labels (unwind #3),2021-10-20,2021-10-28,9032,Internal,Shipping,XYMO Print,200003614,HP Indigo 6800B,3 - MEDIUM,,,12000
I-003298-04,NAC 60C - Labels,2021-10-20,2021-10-28,9054,Internal,Shipping,XYMO Print,200003516,HP Indigo 6800B,3 - MEDIUM,,,8000
I-013125-03,K2-D3 5000 120c - LABELS,2021-10-20,2021-10-28,9054,Internal,Shipping,XYMO Print,200003098,HP Indigo 6800B,3 - MEDIUM,,,9500
I-003300-02,Methyl Protect 60C - Labels,2021-10-20,2021-10-28,9030,Internal,Shipping,XYMO Print,200003505,HP Indigo 6800B,3 - MEDIUM,,,6000
I-004650-03,ALAmax CR 60t Label 090120,2021-10-20,2021-10-28,9030,Internal,Shipping,XYMO Print,200082453,HP Indigo 6800B,3 - MEDIUM,,,6500
I-029881,Saccharomycin DF 120c Label 100121,2021-10-20,2021-11-04,9030,Internal,Shipping,XYMO Print,200084579,HP Indigo 6800B,3 - MEDIUM,,,2500
I-022109-01,K2-D3 5000 60c Labels,2021-10-21,2021-10-28,9074,Internal,Shipping,XYMO Print,200003476,HP Indigo 6800B,3 - MEDIUM,,,11000
I-014321-02,XymoBolX Fruit Punch Label 042121,2021-10-21,2021-10-28,9078,Internal,Shipping,XYMO Print,200083582,HP Indigo 6800B,3 - MEDIUM,,,2000
I-027328-01,MemorAll 60c - Label 081921,2021-10-21,2021-10-28,9079,Internal,Shipping,XYMO Print,200084389,HP Indigo 6800B,3 - MEDIUM,,,6500
I-003212-03,L-Glutamine 340g Label  (UNWIND #3),2021-10-21,2021-10-28,9081,Internal,Shipping,XYMO Print,200003483,HP Indigo 6800B,3 - MEDIUM,,,3500
I-004743-47,Business Cards (staff),2021-10-21,2021-10-27,9082,Internal,Shipping,XYMO Print,300081286,HP Indigo 7900,3 - MEDIUM,Edward.Aponte@xymoprint.com,,500
I-004743-48,Business Cards (staff),2021-10-21,2021-10-27,9083,Internal,Shipping,XYMO Print,300081286,HP Indigo 7900,3 - MEDIUM,Edward.Aponte@xymoprint.com,,500
I-016435-02,BrainSustain for Kids Vanilla Label,2021-10-21,2021-11-05,9107,Internal,Shipping,XYMO Print,200003186,HP Indigo 6800B,3 - MEDIUM,,,1000
I-003254-03,OptiFiber Lean 180c Labels,2021-10-21,2021-10-28,9108,Internal,Shipping,XYMO Print,200003526,HP Indigo 6800B,3 - MEDIUM,,,2000
I-003061-04,OptiFiber Lean 60scp labels,2021-10-21,2021-10-28,9109,Internal,Shipping,XYMO Print,200003525,HP Indigo 6800B,3 - MEDIUM,,,1000
I-029982,ZDL-SLIMGENICS001-CQO50,2021-10-21,2021-10-27,9112,Internal,Scheduling,XYMO Print,200080360,,,,,24
I-018322-06,ZDL-SLIMGENICS001-XYMOZY,2021-10-21,2021-10-27,9113,Internal,Scheduling,XYMO Print,200080926,,,,,24
I-029983,Saccharomycin DF 60c Label 100121,2021-10-21,2021-11-03,9070,Internal,Shipping,XYMO Print,200084578,HP Indigo 6800B,3 - MEDIUM,,,6500
I-029984,Saccharomycin DF 20c Label 100121,2021-10-21,2021-11-04,9070,Internal,Shipping,XYMO Print,200084577,HP Indigo 6800B,3 - MEDIUM,,,500
I-003284-04,Ossopan 1100 120c Labels,2021-10-21,2021-10-28,9077,Internal,Shipping,XYMO Print,200003557,HP Indigo 6800B,3 - MEDIUM,,,2000
I-003279-05,Adrenaliv 120 C Labels,2021-10-21,2021-10-28,9077,Internal,Shipping,XYMO Print,200003075,HP Indigo 6800B,3 - MEDIUM,,,2000
I-011346-01,Omega Pure 820 120c Labels,2021-10-21,2021-10-28,9080,Internal,Shipping,XYMO Print,200003529,HP Indigo 6800B,Please Selection,,,1830
I-011347-03,Omega Pure 780 120C Labels,2021-10-21,2021-10-28,9080,Internal,Shipping,XYMO Print,200003535,HP Indigo 6800B,Please Selection,,,6500
I-029988,GarliX - Labels,2021-10-21,2021-10-28,9076,Internal,Shipping,XYMO Print,200003416,HP Indigo 6800B,3 - MEDIUM,,,2000
I-011353-03,XymoZyme 120C  Label,2021-10-21,2021-10-28,9076,Internal,Shipping,XYMO Print,200003132,HP Indigo 6800B,3 - MEDIUM,,,5500
I-014790-03,MonoPure 1300 EC 60c Labels,2021-10-21,2021-10-28,9076,Internal,Shipping,XYMO Print,200003510,HP Indigo 6800B,3 - MEDIUM,,,15000
I-008635-04,Resveratin Plus 60c Labels,2021-10-21,2021-10-28,9075,Internal,Shipping,XYMO Print,200003616,HP Indigo 6800B,3 - MEDIUM,,,1000
I-008631-02,Candicidal Label 082620,2021-10-21,2021-10-28,9075,Internal,Shipping,XYMO Print,200082396,HP Indigo 6800B,3 - MEDIUM,,,6000
I-003304-02,D3 2000 240C Labels,2021-10-21,2021-10-28,9075,Internal,Shipping,XYMO Print,200003090,HP Indigo 6800B,3 - MEDIUM,,,1000
I-003305-03, D32000 120c Labels,2021-10-21,2021-10-28,9075,Internal,Shipping,XYMO Print,200003392,HP Indigo 6800B,3 - MEDIUM,,,6500
I-006350-02,DHA from Algae 60c Labels,2021-10-21,2021-10-28,9075,Internal,Shipping,XYMO Print,200003462,HP Indigo 6800B,3 - MEDIUM,,,1000
I-008633-03,Adrenaliv 60 C Labels,2021-10-21,2021-10-28,9075,Internal,Shipping,XYMO Print,200003143,HP Indigo 6800B,3 - MEDIUM,,,1000
I-003454-04,XymoZyme 60c Label,2021-10-21,2021-10-28,9075,Internal,Shipping,XYMO Print,200003749,HP Indigo 6800B,3 - MEDIUM,,,3500
I-030010,MonoPure 650 EC 60c Canada Labels,2021-10-21,2021-10-28,9075,Internal,Shipping,XYMO Print,200003327,HP Indigo 6800B,3 - MEDIUM,,,500
I-030086,SynovX Relief 25p Sample UPC Sticker,2021-10-22,2021-11-05,9148,Internal,Shipping,XYMO Print,200084593,HP Indigo 6800B,3 - MEDIUM,,,500
I-030229,CANADA Methyl Protect Labels,2021-10-25,2021-10-28,9169,Internal,Shipping,XYMO Print,200003324,HP Indigo 6800B,3 - MEDIUM,,,2000
I-010278-01,Glutaloemine Canada Labels,2021-10-25,2021-10-28,9170,Internal,Shipping,XYMO Print,200003300,HP Indigo 6800B,3 - MEDIUM,,,500
I-006507-02,CANADA HistDAO  60c Labels,2021-10-25,2021-10-28,9171,Internal,Shipping,XYMO Print,200003301,HP Indigo 6800B,3 - MEDIUM,,,2000
I-006509-01,Canada  Zinc Glycinate 120c  Label,2021-10-25,2021-10-28,9166,Internal,Shipping,XYMO Print,200003371,HP Indigo 6800B,3 - MEDIUM,,,1000
I-003219-01,Canada Dimension 3 120c  Labels,2021-10-25,2021-10-28,9166,Internal,Shipping,XYMO Print,200003275,HP Indigo 6800B,3 - MEDIUM,,,500
I-008714-01,Xcellent C Canada Labels ePV,2021-10-25,2021-10-28,9167,Internal,Shipping,XYMO Print,200003365,HP Indigo 6800B,3 - MEDIUM,,,500
I-013335-01,Canada Magnesium Citrate - LABEL,2021-10-25,2021-10-28,9167,Internal,Shipping,XYMO Print,200003319,HP Indigo 6800B,3 - MEDIUM,,,1000
I-030249,OptiCleanse GHI Van Canada Label ePV,2021-10-25,2021-10-28,9168,Internal,Shipping,XYMO Print,200003296,HP Indigo 6800B,3 - MEDIUM,,,1500
I-009215-01,CAN Opti-GHI Chocolate SSF Label 072920,2021-10-25,2021-10-28,9168,Internal,Shipping,XYMO Print,200082269,HP Indigo 6800B,3 - MEDIUM,,,500
I-008371-02,ATP Ignite Berry 30sv CARTON,2021-10-26,2021-11-01,9238,Internal,Shipping,XYMO Print,200000642,HP Indigo 30000,2 - HIGH,Edward.Aponte@xymoprint.com,,3000
I-004055-10,ZMP-CENGEN2-01,2021-10-27,2021-11-10,9261,Internal,Shipping,XYMO Print,200080778,HP Indigo 30000,3 - MEDIUM,Edward.Aponte@xymoprint.com,,600
I-004054-04,ZMP-CENGEN3-01,2021-10-27,2021-11-10,9262,Internal,Shipping,XYMO Print,200082171,HP Indigo 30000,3 - MEDIUM,Edward.Aponte@xymoprint.com,,300
I-030419,FemBalance M.D.120c LABELS,2021-10-27,2021-11-10,9278,Internal,Shipping,XYMO Print,200036454,HP Indigo 6800B,3 - MEDIUM,,,6000
I-030420,Just For Her 120c - LABELS,2021-10-27,2021-11-10,9278,Internal,Shipping,XYMO Print,200036455,HP Indigo 6800B,3 - MEDIUM,,,4000
I-030555,Saccharomycin DF 60c Canada Label 100121,2021-10-28,2021-11-14,9291,Internal,Shipping,XYMO Print,200084576,HP Indigo 6800B,3 - MEDIUM,,,1000
I-030558,MedCaps Menopause Label 092821,2021-10-28,2021-11-15,9315,Internal,Shipping,XYMO Print,200084560,HP Indigo 6800B,3 - MEDIUM,,,1500
I-030932,ZMP-10165285-01,2021-11-02,2021-11-16,9435,Internal,Shipping,XYMO Print,200084839,HP Indigo 30000,3 - MEDIUM,Edward.Aponte@xymoprint.com,,300
I-030933,ZMP-10148862-01,2021-11-02,2021-11-16,9436,Internal,Shipping,XYMO Print,200084840,HP Indigo 30000,3 - MEDIUM,Edward.Aponte@xymoprint.com,,300
I-030934,Appe-Curb / AC Capsules  Labels Can,2021-11-02,2021-11-09,9438,Internal,Shipping,XYMO Print,200003260,HP Indigo 6800B,3 - MEDIUM,,,500
I-018322-07,ZDL-SLIMGENICS001-XYMOZY,2021-11-02,2021-11-05,9445,Internal,Scheduling,XYMO Print,200080926,,,,,24
I-030940,Canada ATP Ignite Citrus Label 081321,2021-11-02,2021-12-02,9437,Internal,Shipping,XYMO Print,200084351,HP Indigo 6800B,3 - MEDIUM,,,500
I-030941,Canada ATP Ignite Mix Berry Label 081321,2021-11-02,2021-11-16,9437,Internal,Shipping,XYMO Print,200084352,HP Indigo 6800B,3 - MEDIUM,,,500
I-030954,OptiCleanse GHI Vanilla Film 092321,2021-11-02,2021-12-02,9441,Internal,Shipping,XYMO Print,200084522,HP Indigo 6800A,3 - MEDIUM,,,120000
I-030955,OptiCleanse GHI Chocolate Film 092321,2021-11-02,2021-12-02,9441,Internal,Shipping,XYMO Print,200084521,HP Indigo 6800A,3 - MEDIUM,,,120000
I-030956,OptiCleanse GHI Choc SSF Film 092321,2021-11-02,2021-12-02,9441,Internal,Shipping,XYMO Print,200084519,HP Indigo 6800A,3 - MEDIUM,,,120000
I-030957,OptiCleanse GHI Vanilla SSF Film 092321,2021-11-02,2021-12-02,9441,Internal,Shipping,XYMO Print,200084518,HP Indigo 6800A,3 - MEDIUM,,,400000
I-030958,CAL OptiCleanse GHI Van SSF Film 092321,2021-11-02,2021-12-02,9441,Internal,Shipping,XYMO Print,200084517,HP Indigo 6800A,3 - MEDIUM,,,60000
I-030970,OptiCleanse GHI Vanilla Carton 092321,2021-11-02,2021-12-02,9440,Internal,Shipping,XYMO Print,200084533,HP Indigo 30000,3 - MEDIUM,Edward.Aponte@xymoprint.com,,7000
I-030971,CAL OptiCleanseGHI Vanilla Carton 092321,2021-11-02,2021-12-02,9440,Internal,Shipping,XYMO Print,200084532,HP Indigo 30000,3 - MEDIUM,Edward.Aponte@xymoprint.com,,500
I-030972,CAL OptiCleanseGHI Choc Carton 092321,2021-11-02,2021-12-02,9440,Internal,Shipping,XYMO Print,200084531,HP Indigo 30000,3 - MEDIUM,Edward.Aponte@xymoprint.com,,1500
I-030973,OptiCleanse GHI Chocolate Carton 092321,2021-11-02,2021-12-02,9440,Internal,Shipping,XYMO Print,200084530,HP Indigo 30000,3 - MEDIUM,Edward.Aponte@xymoprint.com,,6000
I-030974,CAL OptiCleanseGHI Van SSF Carton 092321,2021-11-02,2021-12-02,9440,Internal,Shipping,XYMO Print,200084526,HP Indigo 30000,3 - MEDIUM,Edward.Aponte@xymoprint.com,,4000
I-030975,CAL Opti GHI Choc SSF Carton 092321,2021-11-02,2021-12-02,9440,Internal,Shipping,XYMO Print,200084525,HP Indigo 30000,3 - MEDIUM,Edward.Aponte@xymoprint.com,,1500
I-030976,OptiCleanse GHI Choc SSF Carton 092321,2021-11-02,2021-12-02,9440,Internal,Shipping,XYMO Print,200084524,HP Indigo 30000,3 - MEDIUM,Edward.Aponte@xymoprint.com,,6500
